Task_name,gradient1_cortical_subcortical,gradient2_cortical_subcortical,gradient3_cortical_subcortical,gradient4_cortical_subcortical,gradient5_cortical_subcortical
you,0.02,-0.02,-0.17,0.22,0.27
gonogo,-0.35,0,0.04,-0.39,-0.16
zeroBack,0.13,0.2,0.43,-0.19,0.13
fingerTapping,-0.05,-0.12,0.18,-0.2,0.27
reading,-0.17,-0.11,-0.43,0.2,0.08
oneBack,0.05,0.21,0.56,-0.36,0.06
hardMath,-0.09,0.46,0.36,-0.37,-0.14
memory,0.07,0.06,-0.29,0.42,0.09
easyMath,0.04,0.3,0,-0.23,-0.02
twoBackFaces,0.18,0.5,0.4,-0.41,-0.06
twoBackScenes,0.1,0.59,0.41,-0.38,-0.14
friend,0.13,-0.02,-0.24,0.15,0.24
movieIncept,-0.04,0.32,-0.38,0.1,0.22
movieBridge,0.1,0.26,-0.48,0.07,0.34
