Id_number,Task_name,RT,acc
subject001,0B,0.785235969,1.0
subject001,1B,0.717602467,0.923076923
subject001,2B-Face,0.893298888,0.854166667
subject001,2B-Scene,0.852943517,0.816326531
subject001,EasyMath,1.901653282,0.927272727
subject001,FingerTap,0.365091043,1.0
subject001,GoNoGo,1.021560398,0.7656862744999999
subject001,HardMath,2.080747245,0.655172414
subject010,0B,0.919694418,1.0
subject010,1B,1.512796964,1.0
subject010,2B-Face,0.900059138,0.446808511
subject010,2B-Scene,0.926586384,0.704545455
subject010,EasyMath,1.992209016,0.948275862
subject010,FingerTap,0.540215928,1.0
subject010,GoNoGo,1.018490821,0.6561866125
subject010,HardMath,2.500426663,0.872340426
subject100,0B,0.785014709,1.0
subject100,1B,0.995642742,1.0
subject100,2B-Face,0.844570637,0.836734694
subject100,2B-Scene,0.884774826,0.823529412
subject100,EasyMath,1.995579986,0.980392157
subject100,FingerTap,0.506140948,1.0
subject100,GoNoGo,1.004229651,0.820448179
subject100,HardMath,2.70082279,0.630434783
subject101,0B,0.5448723,0.9
subject101,1B,1.222829933,0.9
subject101,2B-Face,0.82241709,0.888888889
subject101,2B-Scene,0.825083935,0.842105263
subject101,EasyMath,1.912074286,0.942307692
subject101,FingerTap,0.563055378,1.0
subject101,GoNoGo,1.013992117,0.785855263
subject101,HardMath,2.184311158,0.877192982
subject102,0B,0.858979227,1.0
subject102,1B,0.586913509,1.0
subject102,2B-Face,0.8622985,0.7
subject102,2B-Scene,0.652545179,0.842105263
subject102,EasyMath,1.835711455,0.96969697
subject102,FingerTap,0.344318887,1.0
subject102,GoNoGo,1.046746341,0.709563164
subject102,HardMath,1.889645584,0.892857143
subject103,0B,0.563319022,1.0
subject103,1B,0.758875615,1.0
subject103,2B-Face,0.731302624,0.961538462
subject103,2B-Scene,1.010699075,0.782608696
subject103,EasyMath,1.913422177,0.983870968
subject103,FingerTap,0.368852545,1.0
subject103,GoNoGo,0.98809682,0.7979166664999999
subject103,HardMath,2.462429698,0.897959184
subject104,0B,0.824714889,1.0
subject104,1B,1.2128152,0.916666667
subject104,2B-Face,0.87079164,0.826923077
subject104,2B-Scene,0.832185363,0.867924528
subject104,EasyMath,1.951045222,0.983050847
subject104,FingerTap,0.400798893,1.0
subject104,GoNoGo,1.037039086,0.8062770564999999
subject104,HardMath,1.964935559,0.981818182
subject105,0B,1.188712911,0.818181818
subject105,1B,1.615545867,0.9
subject105,2B-Face,0.876515215,0.810344828
subject105,2B-Scene,0.759745711,0.846153846
subject105,EasyMath,1.985458274,0.85483871
subject105,FingerTap,0.411330397,1.0
subject105,GoNoGo,1.004693953,0.668154762
subject105,HardMath,1.920741427,0.508474576
subject106,0B,0.845060878,0.75
subject106,1B,0.8312143,0.909090909
subject106,2B-Face,0.918719936,0.804878049
subject106,2B-Scene,0.833804657,0.807692308
subject106,EasyMath,1.852703168,0.983606557
subject106,FingerTap,0.355849567,1.0
subject106,GoNoGo,1.012069682,0.831578947
subject106,HardMath,2.090520912,0.980769231
subject107,0B,1.723053289,0.9
subject107,1B,1.378507167,0.6
subject107,2B-Face,0.940608666,0.69047619
subject107,2B-Scene,0.924004233,0.734693878
subject107,EasyMath,2.006124233,0.934782609
subject107,FingerTap,0.458931271,1.0
subject107,GoNoGo,1.047288512,0.8066666665
subject107,HardMath,2.604207528,0.892857143
subject108,0B,0.663243689,1.0
subject108,1B,1.00359734,1.0
subject108,2B-Face,0.959080119,0.84
subject108,2B-Scene,0.624675122,0.819672131
subject108,EasyMath,2.043321035,0.964912281
subject108,FingerTap,0.379037066,1.0
subject108,GoNoGo,1.033701129,0.8226190474999999
subject108,HardMath,2.260974492,0.941176471
subject109,0B,1.175629673,1.0
subject109,1B,1.42084936,0.909090909
subject109,2B-Face,0.955101458,0.826086957
subject109,2B-Scene,0.756170224,0.777777778
subject109,EasyMath,2.080182216,0.949152542
subject109,FingerTap,0.495982842,1.0
subject109,GoNoGo,1.024811617,0.722477064
subject109,HardMath,2.491979271,0.756097561
subject011,0B,0.64069938,1.0
subject011,1B,0.732224,1.0
subject011,2B-Face,0.989394249,0.847826087
subject011,2B-Scene,0.847568382,0.844827586
subject011,EasyMath,1.866253825,0.982142857
subject011,FingerTap,0.37614823,1.0
subject011,GoNoGo,1.006752793,0.585714286
subject011,HardMath,2.087823398,0.783333333
subject110,0B,0.572706291,1.0
subject110,1B,0.92707161,1.0
subject110,2B-Face,0.546124758,0.767857143
subject110,2B-Scene,0.671718487,0.898305085
subject110,EasyMath,1.827101877,1.0
subject110,FingerTap,0.310582345,1.0
subject110,GoNoGo,1.03362723,0.65234375
subject110,HardMath,2.14368926,0.872727273
subject111,0B,0.570455775,1.0
subject111,1B,,0.0
subject111,2B-Face,0.640488261,0.84375
subject111,2B-Scene,0.757617056,0.755555556
subject111,EasyMath,2.018299298,0.950819672
subject111,FingerTap,0.486410854,1.0
subject111,GoNoGo,1.08195893,0.758080808
subject111,HardMath,2.767254838,0.865384615
subject112,0B,1.39255437,0.833333333
subject112,1B,1.019571829,0.777777778
subject112,2B-Face,0.66291663,0.841269841
subject112,2B-Scene,0.850742453,0.886792453
subject112,EasyMath,1.901367616,0.962264151
subject112,FingerTap,0.44367065,1.0
subject112,GoNoGo,1.05359744,0.5466976265000001
subject112,HardMath,2.21878398,0.980769231
subject113,0B,0.758121333,1.0
subject113,1B,1.177624818,1.0
subject113,2B-Face,1.178880651,0.822222222
subject113,2B-Scene,0.921407365,0.884615385
subject113,EasyMath,1.988359471,0.966666667
subject113,FingerTap,0.41167255,1.0
subject113,GoNoGo,1.014235513,0.8944805195000001
subject113,HardMath,2.553530236,0.837209302
subject114,0B,1.01278804,1.0
subject114,1B,1.33889174,0.454545455
subject114,2B-Face,0.88305227,0.652173913
subject114,2B-Scene,0.840164094,0.744186047
subject114,EasyMath,2.260476003,0.795918367
subject114,FingerTap,0.411742427,1.0
subject114,GoNoGo,1.02661739,0.699599466
subject114,HardMath,2.464110905,0.869565217
subject115,0B,0.69829624,1.0
subject115,1B,1.499681036,0.916666667
subject115,2B-Face,0.794492404,0.86440678
subject115,2B-Scene,0.801729597,0.734693878
subject115,EasyMath,1.967793231,1.0
subject115,FingerTap,0.35747757,1.0
subject115,GoNoGo,0.997121572,0.810206134
subject115,HardMath,2.323571258,0.765957447
subject116,0B,0.684804667,1.0
subject116,1B,1.316652714,1.0
subject116,2B-Face,0.830131796,0.821428571
subject116,2B-Scene,0.821952378,0.859649123
subject116,EasyMath,1.877122812,0.98245614
subject116,FingerTap,0.30715434,1.0
subject116,GoNoGo,1.004889309,0.957155285
subject116,HardMath,1.914238151,0.983333333
subject117,0B,0.655458575,1.0
subject117,1B,1.14413942,1.0
subject117,2B-Face,1.016988008,0.553191489
subject117,2B-Scene,1.168608374,0.914893617
subject117,EasyMath,1.986223171,0.949152542
subject117,FingerTap,0.338844325,1.0
subject117,GoNoGo,1.034528003,0.8864661655
subject117,HardMath,3.44741845,0.857142857
subject118,0B,0.630452914,0.777777778
subject118,1B,1.173573133,0.272727273
subject118,2B-Face,0.716936008,0.863636364
subject118,2B-Scene,0.746478891,0.885245902
subject118,EasyMath,1.86908933,1.0
subject118,FingerTap,0.404778983,1.0
subject118,GoNoGo,0.988782521,0.56
subject118,HardMath,1.971428813,1.0
subject119,0B,0.927060927,1.0
subject119,1B,1.254881845,1.0
subject119,2B-Face,0.7281361,0.151515152
subject119,2B-Scene,0.7985812,0.256410256
subject119,EasyMath,1.952668946,0.964285714
subject119,FingerTap,0.778508015,1.0
subject119,GoNoGo,1.03227473,0.8571428575
subject119,HardMath,2.281403443,0.777777778
subject012,0B,0.63596201,1.0
subject012,1B,1.100251444,1.0
subject012,2B-Face,0.743016326,0.813953488
subject012,2B-Scene,0.883907582,0.723404255
subject012,EasyMath,1.900276789,0.979166667
subject012,FingerTap,0.365693066,1.0
subject012,GoNoGo,1.00282759,0.7628205125
subject012,HardMath,1.99539488,0.983606557
subject120,0B,2.252944943,0.7
subject120,1B,0.8818851,0.916666667
subject120,2B-Face,0.853680285,0.85106383
